run_id,a,r0,theta0,Fl,Fh
142.0,0.357143,0.79,1.3464,0.5,2.858
143.0,0.357143,0.79,1.37133,0.5,2.9075
144.0,0.357143,0.79,1.39626,0.5,2.948
145.0,0.357143,0.8,1.22173,0.5,2.5250001
146.0,0.357143,0.8,1.24666,0.5,1.841
147.0,0.357143,0.8,1.2716,0.5,3.7265
148.0,0.357143,0.8,1.29653,0.5,3.5780001
149.0,0.357143,0.8,1.32146,0.5,2.075
150.0,0.357143,0.8,1.3464,0.5,2.9345
151.0,0.357143,0.8,1.37133,0.5,2.9705
152.0,0.357143,0.8,1.39626,0.5,2.9165001
153.0,0.357143,0.81,1.22173,0.5,3.29
154.0,0.357143,0.81,1.24666,0.5,2.7095001
155.0,0.357143,0.81,1.2716,0.5,1.9985
156.0,0.357143,0.81,1.29653,0.5,3.677
157.0,0.357143,0.81,1.32146,0.5,3.8615
158.0,0.357143,0.81,1.3464,0.5,2.7005
159.0,0.357143,0.81,1.37133,0.5,2.8534999
160.0,0.357143,0.81,1.39626,0.5,2.8625
161.0,0.357143,0.82,1.22173,0.5,3.9560001
162.0,0.357143,0.82,1.24666,0.5,3.506
163.0,0.357143,0.82,1.2716,0.5,2.993
164.0,0.357143,0.82,1.29653,0.5,2.372
165.0,0.357143,0.82,1.32146,0.5,1.706
166.0,0.357143,0.82,1.3464,0.5,3.6860001
167.0,0.357143,0.82,1.37133,0.5,3.533
168.0,0.357143,0.82,1.39626,0.5,1.967
169.0,0.357143,0.83,1.22173,0.5,4.316
170.0,0.357143,0.83,1.24666,0.5,3.9695001
171.0,0.357143,0.83,1.2716,0.5,3.5645001
172.0,0.357143,0.83,1.29653,0.5,3.1099999
173.0,0.357143,0.83,1.32146,0.5,2.516
174.0,0.357143,0.83,1.3464,0.5,1.8185
175.0,0.357143,0.83,1.37133,0.5,3.533
176.0,0.357143,0.83,1.39626,0.5,3.7850001
177.0,0.357143,0.84,1.22173,0.5,3.3440001
178.0,0.357143,0.84,1.24666,0.5,4.3204999
179.0,0.357143,0.84,1.2716,0.5,3.983
180.0,0.357143,0.84,1.29653,0.5,3.5869999
181.0,0.357143,0.84,1.32146,0.5,3.1730001
182.0,0.357143,0.84,1.3464,0.5,2.642
183.0,0.357143,0.84,1.37133,0.5,1.949
184.0,0.357143,0.84,1.39626,0.5,3.4024999
185.0,0.357143,0.85,1.22173,0.5,3.0244999
186.0,0.357143,0.85,1.24666,0.5,3.128
187.0,0.357143,0.85,1.2716,0.5,4.3249998
188.0,0.357143,0.85,1.29653,0.5,4.0054998
189.0,0.357143,0.85,1.32146,0.5,3.6005001
190.0,0.357143,0.85,1.3464,0.5,3.2090001
191.0,0.357143,0.85,1.37133,0.5,2.7455001
192.0,0.357143,0.85,1.39626,0.5,2.0615001
193.0,0.385714,0.78,1.22173,0.5,4.0504999
194.0,0.385714,0.78,1.24666,0.5,3.596
195.0,0.385714,0.78,1.2716,0.5,2.6960001
196.0,0.385714,0.78,1.29653,0.5,2.3585
197.0,0.385714,0.78,1.32146,0.5,1.9895
198.0,0.385714,0.78,1.3464,0.5,3.4115
199.0,0.385714,0.78,1.37133,0.5,3.5195
200.0,0.385714,0.78,1.39626,0.5,3.4879999
201.0,0.385714,0.79,1.22173,0.5,4.5229998
202.0,0.385714,0.79,1.24666,0.5,4.1494999
203.0,0.385714,0.79,1.2716,0.5,3.7175
204.0,0.385714,0.79,1.29653,0.5,3.2539999
205.0,0.385714,0.79,1.32146,0.5,2.6105001
206.0,0.385714,0.79,1.3464,0.5,1.9220001
207.0,0.385714,0.79,1.37133,0.5,3.3304999
